magnitude,cdi,mmi,sig,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami,dmin:Year,dmin:cdi,Year:cdi
7.0,8.0,7,768,117.0,0.509,17.0,14.0,-9.7963,159.596,2022,11,1,1029.198,4.072,16176.0
6.9,4.0,4,735,99.0,2.229,34.0,25.0,-4.9559,100.738,2022,11,0,4507.0380000000005,8.916,8088.0
7.0,3.0,3,755,147.0,3.125,18.0,579.0,-20.0508,-178.346,2022,11,1,6318.75,9.375,6066.0
7.3,5.0,5,833,149.0,1.865,21.0,37.0,-19.2918,-172.129,2022,11,1,3771.03,9.325,10110.0
6.6,-999.0,2,670,131.0,4.998,27.0,624.464,-25.5948,178.278,2022,11,1,10105.956,-4993.002,-2019978.0
7.0,4.0,3,755,142.0,4.578,26.0,660.0,-26.0442,178.381,2022,11,1,9256.716,18.312,8088.0
6.8,1.0,3,711,136.0,4.678,22.0,630.379,-25.9678,178.363,2022,11,1,9458.916,4.678,2022.0
6.7,7.0,6,797,145.0,1.151,37.0,20.0,7.6712,-82.3396,2022,10,1,2327.322,8.057,14154.0
6.8,8.0,7,1179,175.0,2.137,92.0,20.0,18.33,-102.913,2022,9,1,4321.014,17.096,16176.0
7.6,9.0,8,1799,271.0,1.153,69.0,26.943,18.3667,-103.252,2022,9,1,2331.366,10.377,18198.0
6.9,9.0,9,887,215.0,0.401,34.0,10.0,23.1444,121.307,2022,9,1,810.822,3.609,18198.0
6.5,7.0,7,756,178.0,0.43,54.0,10.0,23.029,121.348,2022,9,1,869.46,3.01,14154.0
7.0,7.0,5,761,192.0,2.977,45.0,137.0,-21.2077,170.239,2022,9,1,6019.494,20.839,14154.0
7.6,8.0,8,965,272.0,3.158,12.0,116.0,-6.2237,146.471,2022,9,1,6385.476,25.264,16176.0
6.6,9.0,8,1043,141.0,8.454,34.0,12.0,29.7263,102.279,2022,9,0,17093.988,76.08600000000001,18198.0
6.6,7.0,6,672,68.0,5.293,34.0,30.0,-32.6922,-178.959,2022,8,1,10702.446,37.051,14154.0
7.0,9.0,8,1351,152.0,5.276,22.0,33.729,17.5978,120.809,2022,7,1,10668.072,47.483999999999995,18198.0
6.5,3.0,2,653,236.0,1.999,31.0,622.73,-9.0618,-71.1647,2022,6,0,4041.978,5.997,6066.0
7.2,7.0,5,876,144.0,2.494,40.0,236.0,-14.8628,-70.3081,2022,5,1,5042.868,17.458000000000002,14154.0
6.9,2.0,5,733,127.0,0.371,45.0,10.0,-54.1325,159.027,2022,5,1,750.162,0.742,4044.0
6.8,6.0,5,762,162.0,1.505,30.0,220.0,-23.6141,-66.7236,2022,5,1,3043.1099999999997,9.03,12132.0
6.6,6.0,5,762,431.78896882494007,0.914,94.0,27.0,11.5538,-86.9919,2022,4,1,1848.1080000000002,5.484,12132.0
7.0,6.0,4,763,431.78896882494007,2.705,26.0,10.0,-22.5732,170.349,2022,3,1,5469.51,16.23,12132.0
6.9,6.0,4,738,431.78896882494007,2.697,42.0,10.0,-22.72,170.277,2022,3,1,5453.334,16.182000000000002,12132.0
6.7,8.0,7,806,431.78896882494007,0.289,32.0,24.0,23.3421,121.636,2022,3,1,584.358,2.312,16176.0
7.3,9.0,8,2397,431.78896882494007,2.936,29.0,41.0,37.7015,141.587,2022,3,1,5936.592,26.424,18198.0
6.7,9.0,6,708,431.78896882494007,2.188,43.0,28.0,-0.6831,98.6034,2022,3,0,4424.136,19.692,18198.0
6.6,2.0,7,670,431.78896882494007,0.827,46.0,24.0,-30.0528,-177.74,2022,3,1,1672.194,1.654,4044.0
6.8,2.0,3,712,431.78896882494007,5.78,12.0,535.0,-23.7852,-179.968,2022,2,1,11687.16,11.56,4044.0
6.5,8.0,6,690,431.78896882494007,3.026,22.0,110.0,-4.455,-76.9395,2022,2,0,6118.571999999999,24.208,16176.0
6.5,7.0,4,651,431.78896882494007,1.088,57.0,8.0,-29.535,-176.729,2022,1,1,2199.936,7.6160000000000005,14154.0
6.6,8.0,6,785,431.78896882494007,2.418,22.0,33.0,-6.9291,105.251,2022,1,0,4889.196,19.344,16176.0
6.5,-999.0,3,650,97.0,1.61607,108.0,37.0,52.502,-168.08,2022,1,1,3267.6935399999998,-1614.45393,-2019978.0
6.5,-999.0,3,650,23.0,-999.0,208.8,37.0,52.502,-168.08,2022,1,1,-2019978.0,998001.0,-2019978.0
