magnitude,cdi,mmi,sig,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami,Year:nst,Year:sig,Year:magnitude,nst:sig,nst:magnitude,sig:magnitude
7.0,8,7,768,117,0.509,17.0,14.0,-9.7963,159.596,2022,11,1,236574,1552896,14154.0,89856,819.0,5376.0
6.9,4,4,735,99,2.229,34.0,25.0,-4.9559,100.738,2022,11,0,200178,1486170,13951.800000000001,72765,683.1,5071.5
7.0,3,3,755,147,3.125,18.0,579.0,-20.0508,-178.346,2022,11,1,297234,1526610,14154.0,110985,1029.0,5285.0
7.3,5,5,833,149,1.865,21.0,37.0,-19.2918,-172.129,2022,11,1,301278,1684326,14760.6,124117,1087.7,6080.9
6.6,0,2,670,131,4.998,27.0,624.464,-25.5948,178.278,2022,11,1,264882,1354740,13345.199999999999,87770,864.5999999999999,4422.0
7.0,4,3,755,142,4.578,26.0,660.0,-26.0442,178.381,2022,11,1,287124,1526610,14154.0,107210,994.0,5285.0
6.8,1,3,711,136,4.678,22.0,630.379,-25.9678,178.363,2022,11,1,274992,1437642,13749.6,96696,924.8,4834.8
6.7,7,6,797,145,1.151,37.0,20.0,7.6712,-82.3396,2022,10,1,293190,1611534,13547.4,115565,971.5,5339.900000000001
6.8,8,7,1179,175,2.137,92.0,20.0,18.33,-102.913,2022,9,1,353850,2383938,13749.6,206325,1190.0,8017.2
7.6,9,8,1799,271,1.153,69.0,26.943,18.3667,-103.252,2022,9,1,547962,3637578,15367.199999999999,487529,2059.6,13672.4
6.9,9,9,887,215,0.401,34.0,10.0,23.1444,121.307,2022,9,1,434730,1793514,13951.800000000001,190705,1483.5,6120.3
6.5,7,7,756,178,0.43,54.0,10.0,23.029,121.348,2022,9,1,359916,1528632,13143.0,134568,1157.0,4914.0
7.0,7,5,761,192,2.977,45.0,137.0,-21.2077,170.239,2022,9,1,388224,1538742,14154.0,146112,1344.0,5327.0
7.6,8,8,965,272,3.158,12.0,116.0,-6.2237,146.471,2022,9,1,549984,1951230,15367.199999999999,262480,2067.2,7334.0
6.6,9,8,1043,141,8.454,34.0,12.0,29.7263,102.279,2022,9,0,285102,2108946,13345.199999999999,147063,930.5999999999999,6883.799999999999
6.6,7,6,672,68,5.293,34.0,30.0,-32.6922,-178.959,2022,8,1,137496,1358784,13345.199999999999,45696,448.79999999999995,4435.2
7.0,9,8,1351,152,5.276,22.0,33.729,17.5978,120.809,2022,7,1,307344,2731722,14154.0,205352,1064.0,9457.0
6.5,3,2,653,236,1.999,31.0,622.73,-9.0618,-71.1647,2022,6,0,477192,1320366,13143.0,154108,1534.0,4244.5
7.2,7,5,876,144,2.494,40.0,236.0,-14.8628,-70.3081,2022,5,1,291168,1771272,14558.4,126144,1036.8,6307.2
6.9,2,5,733,127,0.371,45.0,10.0,-54.1325,159.027,2022,5,1,256794,1482126,13951.800000000001,93091,876.3000000000001,5057.7
6.8,6,5,762,162,1.505,30.0,220.0,-23.6141,-66.7236,2022,5,1,327564,1540764,13749.6,123444,1101.6,5181.599999999999
6.6,6,5,762,0,0.914,94.0,27.0,11.5538,-86.9919,2022,4,1,0,1540764,13345.199999999999,0,0.0,5029.2
7.0,6,4,763,0,2.705,26.0,10.0,-22.5732,170.349,2022,3,1,0,1542786,14154.0,0,0.0,5341.0
6.9,6,4,738,0,2.697,42.0,10.0,-22.72,170.277,2022,3,1,0,1492236,13951.800000000001,0,0.0,5092.2
6.7,8,7,806,0,0.289,32.0,24.0,23.3421,121.636,2022,3,1,0,1629732,13547.4,0,0.0,5400.2
7.3,9,8,2397,0,2.936,29.0,41.0,37.7015,141.587,2022,3,1,0,4846734,14760.6,0,0.0,17498.1
6.7,9,6,708,0,2.188,43.0,28.0,-0.6831,98.6034,2022,3,0,0,1431576,13547.4,0,0.0,4743.6
6.6,2,7,670,0,0.827,46.0,24.0,-30.0528,-177.74,2022,3,1,0,1354740,13345.199999999999,0,0.0,4422.0
6.8,2,3,712,0,5.78,12.0,535.0,-23.7852,-179.968,2022,2,1,0,1439664,13749.6,0,0.0,4841.599999999999
6.5,8,6,690,0,3.026,22.0,110.0,-4.455,-76.9395,2022,2,0,0,1395180,13143.0,0,0.0,4485.0
6.5,7,4,651,0,1.088,57.0,8.0,-29.535,-176.729,2022,1,1,0,1316322,13143.0,0,0.0,4231.5
6.6,8,6,785,0,2.418,22.0,33.0,-6.9291,105.251,2022,1,0,0,1587270,13345.199999999999,0,0.0,5181.0
6.5,0,3,650,97,1.61607,108.0,37.0,52.502,-168.08,2022,1,1,196134,1314300,13143.0,63050,630.5,4225.0
6.5,0,3,650,23,0.0,208.8,37.0,52.502,-168.08,2022,1,1,46506,1314300,13143.0,14950,149.5,4225.0
6.6,8,5,674,0,0.507,49.0,19.0,52.6252,-168.15,2022,1,1,0,1362828,13345.199999999999,0,0.0,4448.4
6.7,0,4,691,50,0.936943,126.0,33.0,52.48,-167.736,2022,1,1,101100,1397202,13547.4,34550,335.0,4629.7
6.7,0,4,691,20,0.0,205.2,33.0,52.48,-167.736,2022,1,1,40440,1397202,13547.4,13820,134.0,4629.7
6.8,7,6,730,0,0.92,61.0,20.0,52.6563,-167.917,2022,1,1,0,1476060,13749.6,0,0.0,4964.0
6.6,6,6,976,0,1.168,21.0,21.0,35.1456,31.9095,2022,1,0,0,1973472,13345.199999999999,0,0.0,6441.599999999999
6.6,9,8,1012,0,2.685,13.0,13.0,37.8167,101.299,2022,1,0,0,2046264,13345.199999999999,0,0.0,6679.2
7.3,8,7,921,0,3.713,19.0,165.49,-7.5924,127.581,2021,12,0,0,1861341,14753.3,0,0.0,6723.3
7.3,9,5,854,0,1.025,32.0,14.27,-7.6033,122.2,2021,12,1,0,1725934,14753.3,0,0.0,6234.2
7.5,8,8,1094,0,4.951,40.0,126.0,-4.4898,-76.8461,2021,11,1,0,2210974,15157.5,0,0.0,8205.0
6.6,7,4,688,0,3.259,15.0,12.0,23.5414,126.48,2021,11,1,0,1390448,13338.599999999999,0,0.0,4540.8
6.9,8,6,995,0,0.0,0.0,51.6,56.2581,-156.492,2021,10,1,0,2010895,13944.900000000001,0,0.0,6865.5
6.9,4,3,740,0,4.778,31.0,535.0,-21.1704,174.54,2021,10,1,0,1495540,13944.900000000001,0,0.0,5106.0
7.3,4,4,826,0,4.493,32.0,527.0,-21.1036,174.895,2021,10,1,0,1669346,14753.3,0,0.0,6029.8
